"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Нажимаем на стрелочку рядом с первым вопросом, открывается текст ответа","771","Проверка появления текста ответа на первый вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","995","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на кнопку заказа самоката. Заполняем поля: Имя, Фамилия, Адрес, Станция метро, Телефон, Дата, Срок аренды, Цвет самоката, Комментарий","3889","Заказ самоката. Использование двух наборов данных","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"Нажимаем на стрелочку рядом с пятым вопросом, открывается текст ответа","138","Проверка появления текста ответа на пятый вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1135","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с седьмым вопросом, открывается текст ответа","335","Проверка появления текста ответа на седьмой вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом со вторым вопросом, открывается текст ответа","152","Проверка появления текста ответа на второй вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1472","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с третьим вопросом, открывается текст ответа","187","Проверка появления текста ответа на третий вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1264","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на логотип Яндекса. Через редирект открывается главная страница Дзена","1612","Проверка логотипа Яндекса","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1095","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на логотип ""Самоката"". Попадаем на главную страницу ""Самоката""","811","Проверка логотипа ""Самоката""","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"Нажимаем на стрелочку рядом с восьмым вопросом, открывается текст ответа","161","Проверка появления текста ответа на восьмой вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1040","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на кнопку заказа самоката. Заполняем поля: Имя, Фамилия, Адрес, Станция метро, Телефон, Дата, Срок аренды, Цвет самоката, Комментарий","3617","Заказ самоката. Использование двух наборов данных","tests","2026-06-22","passed","2026-06-22","TestOrderPage","test_order_page","",""
"Нажимаем на стрелочку рядом с четвертым вопросом, открывается текст ответа","249","Проверка появления текста ответа на четвертый вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1384","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с шестым вопросом, открывается текст ответа","152","Проверка появления текста ответа на шестой вопрос в разделе ""Вопросы о важном""","tests","2026-06-19","passed","2026-06-19","TestMainPage","test_main_page","",""
"Нажимаем на стрелочку рядом с вопросом, открывается текст ответа","1281","Проверка появления текста ответа в разделе ""Вопросы о важном""","tests","2026-06-22","passed","2026-06-22","TestMainPage","test_main_page","",""
